age,MI_smoothed,df,spline_max
0,-0.032885541,30,94
1,-0.032854285,30,94
2,-0.031854192,30,94
3,-0.030405549,30,94
4,-0.02918596,30,94
5,-0.028162332,30,94
6,-0.02738811,30,94
7,-0.026965763,30,94
8,-0.026871399,30,94
9,-0.02689714,30,94
10,-0.026778524,30,94
11,-0.026269069,30,94
12,-0.025433429,30,94
13,-0.024429694,30,94
14,-0.023462582,30,94
15,-0.022704328,30,94
16,-0.022150628,30,94
17,-0.021753166,30,94
18,-0.021485114,30,94
19,-0.021367267,30,94
20,-0.021289169,30,94
21,-0.021138062,30,94
22,-0.020940199,30,94
23,-0.020739748,30,94
24,-0.020563442,30,94
25,-0.020386248,30,94
26,-0.020172533,30,94
27,-0.019901604,30,94
28,-0.019577424,30,94
29,-0.019219603,30,94
30,-0.018877994,30,94
31,-0.018572409,30,94
32,-0.018312887,30,94
33,-0.018106059,30,94
34,-0.017941129,30,94
35,-0.017801877,30,94
36,-0.017668094,30,94
37,-0.017523434,30,94
38,-0.017368505,30,94
39,-0.017198779,30,94
40,-0.017012182,30,94
41,-0.016823398,30,94
42,-0.016639783,30,94
43,-0.016462512,30,94
44,-0.016281828,30,94
45,-0.016090998,30,94
46,-0.015887688,30,94
47,-0.015681013,30,94
48,-0.015481897,30,94
49,-0.015292861,30,94
50,-0.015098571,30,94
51,-0.014884075,30,94
52,-0.014654201,30,94
53,-0.014424189,30,94
54,-0.014211709,30,94
55,-0.014034585,30,94
56,-0.01389656,30,94
57,-0.013794946,30,94
58,-0.013716983,30,94
59,-0.013649568,30,94
60,-0.013583197,30,94
61,-0.013520445,30,94
62,-0.01346919,30,94
63,-0.01344364,30,94
64,-0.013449054,30,94
65,-0.013479787,30,94
66,-0.013499717,30,94
67,-0.013472233,30,94
68,-0.013366641,30,94
69,-0.013175823,30,94
70,-0.012926823,30,94
71,-0.012652393,30,94
72,-0.012377958,30,94
73,-0.012118392,30,94
74,-0.011855852,30,94
75,-0.0115725,30,94
76,-0.01125328,30,94
77,-0.010887109,30,94
78,-0.010469862,30,94
79,-0.010001833,30,94
80,-0.009494981,30,94
81,-0.0089655,30,94
82,-0.008427973,30,94
83,-0.007889127,30,94
84,-0.007353782,30,94
85,-0.006827009,30,94
86,-0.006314005,30,94
87,-0.005820158,30,94
88,-0.005351959,30,94
89,-0.004917654,30,94
90,-0.004525448,30,94
91,-0.004179109,30,94
92,-0.003871157,30,94
93,-0.003590763,30,94
94,-0.003324522,30,94
95,-0.003060676,30,94
96,-0.002796829,30,94
97,-0.002532983,30,94
98,-0.002269137,30,94
99,-0.00200529,30,94
100,-0.001741444,30,94
101,-0.001477598,30,94
102,-0.001213751,30,94
103,-0.000949905,30,94
104,-0.000686059,30,94
105,-0.000422212,30,94
